,txt,sentiment,num_of_words
19,sizes recomended in the size chart are not real: sizes are much smaller than what is recomended in the chart. i tried to put it and sheer it!. i guess you should not buy this item in the internet..it is better to go to the store and check it,0,49
34,"nothing you don't already know: if you have even casually looked into applying to law school, have already read everything there is in this book, do not waste your money, seriously!!",0,31
38,"doesn't work on a mac: it clearly says on line this will work on a mac os system. the disk comes and it does not, only windows . do not order this if you have a mac!!!!!!!",0,37
48,"terrible!! do not buy this: i bought this for my wife for her birthday,and had toreturn it because the dvd palyer would not work. i returned it and got a repalcement, which once again the dvd player failed to work! it is a piece of junk.",0,46
59,"disappointing: the text is the same as ever (i think), but the plates are markedly inferior to all previous editions. had i known this ahead of time, i would not have purchased this volume.",0,34
86,it drew air: this book drew air pretty bad. i have no idea why someone would waste their time writing it. boy did it draw air. do not read this book.,0,31
108,"doesn't fit: i ordered this dashmat for a specific vehicle, it was not the correct mat. i returned the original one and they sent me an exact duplicate of the wrong mat. i can't seem to get the correct one and therefore it sits in a box!!!!!!",0,47
121,letters from home: i like letters from home cuz it tells a story that if you really listen you can acctually hear john michael montgomery tell his story of soldiers and all that stuffi liked it and i like punk rock and rock so it must be good if i like it,0,52
128,no technical information: this book is a great over view of the joints used in building but has no information on beam spans or loads to actually build a building,0,30
164,"great for twins: i purchased the alphabet blocks for my twin daughters. they are just over 8 months old and they love them. this product is a great learning tool for them for years to come but for now it a great teething toy!!! i would recommend this to anyone, plus i love fisher price.",0,55
181,gardening lawn book: four pages of the book was missing. it just happened to be the formulas that my husband needed. fortunately he was able to copy our friends book. but i will hesitate to buy another book like this again.,0,41
199,"don't bother: the pillow is tiny and poor quality foam, my pillow i was replacing was at least a year and a half old and it preforms better than this one did new.",0,33
206,the product i received this time is like fake one: i have been used this product for many years. but somehow the product i received this time is like fake one. it's very thin. i have to used double amount.,0,40
223,"fire truck puzzle: the fire truck puzzle arrived in the time that was stated. it is very colorful and well worth the price. the puzzle is a christmas gift for a 2 year old, so at this time i can't state how he liked it. but i am very pleased with the quality.",0,53
263,"too small: i have bought dockers for years but these are cut smaller than they usually are. even with the ""stretch"" waist band they are tight. so much for an ""extra"" inch. beware. try these in a store before you buy.",0,41
266,"cut smaller than usual: i agree, these are cut small... buy an inch or two larger than you normally do. the waist band does not stretch.",0,26
301,"ghetto foolishness: i like the hot boys and really like juvenile, but this is not good. the only thing good is ""we on fire"" and ""i need a hot girl"". just download those 2 songs onto your ipod and skip this album.",0,42
341,"bye bye mom and dad: my children and i love the little critter books. this is a great book, but it was not bound well. the book fell out of the cover within a few days of recieving it.",0,39
353,"too boring: this book had great potential that it did not live up to. i hope she goes back to writing more ""dark series"" books. this book needed more action and more editing - it was way too long for the amount of plot it had. :-(",0,47
389,"soooooooooooo not funny: this movie was not only not funny, but it was excruciatingly boring. i think adam was channeling the aristocrats. whilst aristocrats was not as funny as it thought itself to be, it was still better than this garbage.",0,41
395,"what happend sandler?: his movies seem to be going down hill. the only thing i found funny about this movie was eminem snapping in it. other then that, it is just not that funny. dont let it trick you, only see this if its free.",0,45
405,absolutely nothing funny !: this is one of the worst movies i have seen. the dialogue is awful. there is zero humor. all the characters are boring and completely humorless.what a loser movie!!!!!!!!!!!!!,0,33
412,"sandler's worst!: i normally love sandler's movies but this was just horrible. none of it flowed right, jokes were horrible vand stupid and just all around made no sense. don't waste your time and money on this.",0,37
441,"fraud,not as advertised: this dvd was entiled ""seventh cliburn competion, 1985"" it was not the competion program, and did not even contain the winning performance. i consider it to be a total fraud and misrepresentation.",0,35
460,"what a disappointment!: i expected better than this poorly contrived story of murder and mystery from a well-seasoned author. the plot line lacked substance and the ending was poorly executed. the only reason i continued reading the story was in hopes that it would improve as i read. boy, was i disappointed.",0,52
461,just awful: this was possibly the worst book i have ever read. i am amazed by the number of fans for this kind of rubbish.,0,25
493,"no lessons learned: this is one of the most disappointing purchases i have made on amazon.the book is one long, myopic, libertarian apology.",0,23
508,"don't be fooled by the title of this book: the only economic lessons in it are a very biased critique of any economic policy other than capitalist doctrine. i wanted to learn about economics and was so disappointed in this outdated, one-sided book.",0,43
547,this book is incomprehensible: this book was an anthology of 19 stories. i didn't like it because it was hard for me to make a mental picture in my head. i had to read almost every paragraph over. i could not comprehend at all!,0,44
559,"wasn't what i expected: i ordered the item according to the chart that was associated with the size and it ended up being to big. the item is also like it is made from rubber, but because i needed it for this weekend i don't know what i am going to do at this point.",0,55
577,incrediby difficult to put on: with the type of closures and the amount of compression it is meant to give it's really difficult to put on. you need a hand to pull it closed in order to actually be able to close each of the 20 some odd hooks.,0,49
578,"squeem: i ordered according to the size chart for my measurements and it was way to small!! very uncomfortable.i returned it,",0,21
607,"works but uncomfortable: held my tummy in when i tried it on but was way too stiff...the boning and the hooks showed through, so could not even wear it inside a tshirt. was tough to wear and i was scared of pinching myself while wearing it",0,46
610,"wasnt worth: i bought a pink rubber squeem which had a seperate cotton cloth . that worked well, but i wonder why i dint buy the same and ended up with this. this product hurts me on my left hip and i got scars on my left hip.. :(",0,49
621,"hard to put on: the shape wear is difficult to put on and you can see the seams through your clothes. it is hard to bend over, especially as a school teacher! i would definitely like to try brooke burke's belly taut instead of this old school shapewear!",0,48
626,waste of time for me: i really wanted this item to work because everybody seemed to love it. it didn't hold anything in on me and it gave me back boobs. waste of money for me.,0,36
679,meh: there was very bad effects & evil characters that look like they stepped out of the 10 dollar costume halloween shop. if you are in to paying 1.99 for really cheesy stuff this is for you. the bad guy does have a good demonic voice & some interestingly complex and incredibly vulgar sayings.,0,54
696,a waste of time: this book is not well written and leaves nothing to the imagination. if i hadn't bought it in hard cover and spent the money i would not even have finished reading it.,0,36
712,a disappointment: it is hard to believe that the same author wrote the eagle has landed and edge of danger. the writing is just plain shallow. the plot predictable. save your money for something better.,0,35
723,has no value!: if your studying herbs or medicinal plants this book should not be on your list of books to own. it is worthless! it is a pagan religion book. plain and simple! in my opinion it is for the study of witchcraft and the like.,0,47
727,"not very well written: this book was well reviewed and i was very disappointed. even if it's written for poor readers, does it have to read like dick and jane? children are young, not simple-minded. give kids real literature or they won't keep reading, they'll plug in to the media.",0,50
732,the scarlett letter: written in old english. it was very hard to read as i had to think through most sentences to figure out what was being said.,0,28
743,i've read better.: i'm a 13 year old kid and i just finished reading this book for an english class i am taking. although it was a very interesting and provkitive novel. i did not like it very much. i think it maybe that i'm still too young to throughly understand this piece of literature.,0,55
755,boring: i tred to enjoy this novel. in fact i battled through to about halfway hoping it would get better but it seemed to me a silly pretentious novel. the history of life in that era was mildly enjoyable but i applaud anyone who had enough tenacity to stay the whole journey.,0,52
